,Name,Latitude,Longitude,Elevation
0,ISS (ZARYA),-32.88590583707727,-13.528861741564388,6807860.858505138
1,KESTREL EYE IIM (KE2M),-31.435422608401886,55.052693420168545,6628223.082620773
2,AEROCUBE 12A,-5.897330375204145,16.00738094030539,6854358.337789881
3,AEROCUBE 12B,-51.75202634667014,106.5281614649993,6865938.76845558
4,LEMUR-2-VU,50.885184159500064,-101.75119777003087,6846428.271423961
5,LEMUR-2-ALEXANDER,-19.922759340466833,18.37266782794524,6849418.666147258
6,LEMUR-2-YUASA,-46.321095534759145,58.6960858527819,6858904.883549518
7,LEMUR-2-TOMHENDERSON,50.823246246649894,-70.75918666619457,6848523.433019304
8,1998-067PN,-13.974574564377296,96.88551666126368,6677403.01264433
9,ISS DEB (SEDA-AP),-48.128128046584756,-157.06671051889913,6773139.609350089
10,UNITE,15.003432527444321,96.37314113100464,6696791.832485632
11,ISS DEB,-3.197684380626596,166.89835725827163,6766927.126183327
12,ISS DEB,-6.287316894736124,168.48030639112633,6765805.843423389
13,RAAVANA-1,-51.607150285782865,-147.92765671061443,6712180.751874611
14,UGUISU,28.271957939684697,104.49100764146658,6698643.536874643
15,NEPALISAT-1,-51.58266431170122,-148.41118058050574,6712902.835934803
16,SPOOQY-1,-48.67294041910909,-113.47853052870488,6716904.706056414
17,RED-EYE 1 (PINOT),16.20030296279327,-1.3240069586235395,6762473.643954406
18,KRAKSAT,29.448197852636703,122.2988573740223,6737766.832894248
19,VCC A,46.70829790602284,11.108122114473073,6711325.977078999
20,ENTRYSAT,50.715112550841816,10.982195904294702,6618811.7841630075
21,VCC B,36.97153218063352,97.08005770767562,6706091.88200516
22,RWASAT-1,-7.497329055744326,-15.238087485236631,6767191.709159798
23,AQT-D,-22.727071778396905,-169.64423764909566,6769507.217491974
24,NARSSCUBE-1,-49.164019378223486,-134.7658033590074,6755809.580571081
25,STPSAT-4,24.47016690793191,28.13795718665807,6779856.086608393
26,HARP,-50.66496256799451,-76.0874781305518,6786123.357240212
27,1998-067RA,18.502766626121417,164.12242327026857,6765971.851930907
28,PHOENIX,-46.24649868872898,-123.25959568898492,6791819.083662434
29,1998-067RC,-17.015361311267412,-20.928287675561027,6760924.52300014
30,CRYOCUBE,50.47341290746465,97.93751202348196,6744923.578573194
31,AZTECHSAT-1,-31.987916688908854,-42.45028251142581,6753106.221356853
32,RADSAT-U,33.54321839935224,147.3126466230339,6765479.966366181
33,QARMAN,7.9557824874495635,0.002319992363018056,6754607.1946112905
34,SORTIE,51.602079618522595,101.59842218310078,6779383.265790385
35,ICS-EF (ISS DEB),-50.641388885733214,-63.27712160053343,6807619.0094492985
36,G-SAT,-50.96436840538687,-103.20889279312519,6786157.533704203
37,QUETZAL-1,48.57867328657136,115.63289644398246,6765630.358603661
38,RED-EYE 2 (MERLOT),34.988502692646136,42.81776788310656,6785004.7625075625
39,RED-EYE 3 (CABERNET),33.95984417597136,41.40578385605714,6784609.903216624
40,DEMI,-16.727112144691926,-164.72869196297182,6770334.90922518
41,SPOC,30.41200751624087,36.94359068894584,6781589.132421068
42,BOBCAT-1,-40.387454309398706,-34.61948651996358,6785645.450712767
43,NEUTRON-1,-47.65845331206298,-50.07228753777027,6795081.341027528
44,1998-067RU,-2.880093117324283,-174.6204727562752,6759324.63612147
45,LEMUR-2-BAXTER-OLIVER,-44.40352565788239,-48.24890631729445,6769088.968427181
46,LEMUR-2-DJARA,6.340773897195556,178.1694677531839,6758692.529637374
47,DESCENT,-50.627198996972105,-96.74006952257301,6796420.2650618
48,ISS DEB,-35.16762005483022,-129.8146677706094,6805805.135935094
49,RSP-01,33.96234738392269,46.659713987218275,6790570.525360804
50,TAUSAT-1,-29.149080596014134,-11.963392464255183,6794472.307613708
51,TSURU,-13.657584820416307,3.7536596313545676,6792583.818097468
52,STARS-EC,42.190104170059485,60.1240270938032,6791701.091098132
53,MMSATS-1,-7.66001442839968,10.16000113939713,6796084.010617043
54,SOYUZ-MS 18,-32.88273516473867,-13.524713657349952,6807835.35086755
55,CREW DRAGON 2,-32.88273516473867,-13.524713657349952,6807835.35086755
56,TIANHE,4.4724124827977025,-95.51702154385552,6753244.868159408
57,TIANZHOU-2,4.466704762569048,-95.52521881609653,6753171.501076503
58,RAMSAT,10.109911719612588,-171.44129608389096,6796388.107042328
59,SOAR,-50.950038159436474,-59.58142046654995,6806481.756336136
60,SHENZHOU-12,4.466704762569048,-95.52521881609653,6753171.501076503
61,BD-28,8.536221592370717,-170.1626141910283,6795230.4593674615
62,MIR-SAT 1,18.25131852167661,-178.39380886420898,6794467.376589005
63,PROGRESS-MS 17,-32.88273516473867,-13.524713657349952,6807835.35086755
64,ISS (NAUKA),-32.88273516473867,-13.524713657349952,6807835.35086755
65,SL-25 R/B,-45.08546695561095,-117.59333693977133,6526614.776948467
