,Name,Latitude,Longitude,Elevation
0,ISS (ZARYA),-36.67768325768208,-83.21334039659654,431362.3056505423
1,KESTREL EYE IIM (KE2M),-47.08195795760828,85.36918864296142,252094.70279063185
2,AEROCUBE 12A,-8.04798422016702,120.21802140544,466787.5908881623
3,AEROCUBE 12B,50.9104910344017,-155.70741677877737,478828.7301390971
4,LEMUR-2-VU,-30.239812659105603,-34.59293945993037,474345.7388301522
5,LEMUR-2-ALEXANDER,-14.260669556180124,105.5756104984946,460899.96932809177
6,LEMUR-2-YUASA,20.37691555356909,135.49335868946025,458935.32927761663
7,LEMUR-2-TOMHENDERSON,-44.128977089464094,-10.700820946976298,480194.84769292513
8,1998-067PN,44.79980086968136,-29.311000758824694,302906.4289806373
9,ISS DEB (SEDA-AP),50.178931820340495,6.6784340308042145,382298.0047964006
10,UNITE,13.97185838038912,33.606918960038264,319060.6257857468
11,ISS DEB,44.751200388702394,-28.492294280885723,387885.6277048919
12,ISS DEB,42.67626116981677,-34.10303308124426,384468.0187150375
13,RAAVANA-1,-51.26513027253839,143.9215732240046,335967.11220693315
14,UGUISU,23.03751178804803,46.32263380507498,320696.46741461736
15,NEPALISAT-1,-51.482486336607344,146.42588682861214,336844.5425644592
16,SPOOQY-1,-41.40757301800543,-157.5828957391737,337852.7880387451
17,RED-EYE 1 (PINOT),-50.91742155471625,177.01937178177747,408534.216310748
18,KRAKSAT,-49.419374182799,-162.04259776878013,377756.2467328953
19,VCC A,49.650790849148244,2.8001766884332873,334365.300289338
20,ENTRYSAT,23.070495232056846,34.05797751996106,251738.64202721362
21,VCC B,18.942515341232163,54.05211338527914,326327.7127156673
22,RWASAT-1,-31.804510316821883,135.7940243274496,396086.5409898681
23,AQT-D,50.254930001812866,-1.8485622935753243,385371.20091650035
24,NARSSCUBE-1,30.349772304007296,-56.8886495337929,361037.05069540767
25,STPSAT-4,-26.827632412717307,-80.57135807418096,412457.3931874683
26,HARP,16.023238055621654,100.4996344401605,385171.2005857462
27,1998-067RA,36.296599645461384,-29.470222676766934,389876.0700294361
28,PHOENIX,20.73800559394944,99.90038725267733,394139.59418762766
29,1998-067RC,-1.2977861296254618,109.95377483501035,377016.8201998836
30,CRYOCUBE,-51.412659666668404,-172.9457904371246,386286.8963550239
31,AZTECHSAT-1,46.31832032223986,47.51369627663905,364078.8687265129
32,RADSAT-U,18.32061426947376,-50.30450739824057,390142.585787539
33,QARMAN,-26.42900533602787,132.63774179124928,386363.6387894315
34,SORTIE,15.81841623212841,-46.55140158631722,398864.4201091697
35,ICS-EF (ISS DEB),-39.9144985399319,167.23821648855076,424424.75348391704
36,G-SAT,22.174629822342563,97.81530077228206,387518.4455779098
37,QUETZAL-1,-20.128698331517146,-82.12620309242915,390125.41613809206
38,RED-EYE 2 (MERLOT),-8.252317661210268,-61.44509741864535,407772.13264036074
39,RED-EYE 3 (CABERNET),-9.492139887508353,-62.44776213468757,407936.3717063315
40,DEMI,50.906080038050234,13.047884092404942,391313.80056845624
41,SPOC,-23.524863811431118,-74.86346717476951,407920.04313338443
42,BOBCAT-1,-25.047860360727608,144.77026013350394,401610.08498069283
43,NEUTRON-1,-31.03716557036111,153.66268088884567,410491.8443938899
44,1998-067RU,30.35693636125346,-33.54495858539583,381882.8451149382
45,LEMUR-2-BAXTER-OLIVER,29.404332193978398,91.76569393808937,378273.29555018555
46,LEMUR-2-DJARA,23.037483643107542,-41.371580265928394,381388.1431254619
47,DESCENT,-8.324464495712343,132.0678340422443,404100.15240848187
48,ISS DEB,-25.353583425082167,154.0325471395782,423942.945444114
49,RSP-01,1.8129090175120475,-48.236446818142504,411082.55168804957
50,TAUSAT-1,-51.78226467511803,-138.36976128606483,424371.04631174385
51,TSURU,-41.64894505737363,-93.9586178968834,424330.7151270082
52,STARS-EC,9.698257730064997,-41.96174051263216,408121.6972517655
53,MMSATS-1,-22.462108933798486,-67.11174265981494,422075.34252573084
54,SOYUZ-MS 18,-36.680416704308286,-83.21666202999309,431433.19371749525
55,CREW DRAGON 2,-36.680416704308286,-83.21666202999309,431433.19371749525
56,TIANHE,-20.083294816417766,42.55137131324123,382909.0834781691
57,TIANZHOU-2,-20.092661493854262,42.56319868277842,383072.6550438728
58,RAMSAT,25.254874548835122,110.4693386067345,419241.5054029572
59,SOAR,-46.44525483781514,-172.07649028547124,427541.6012743968
60,SHENZHOU-12,-20.092661493854262,42.56319868277842,383072.6550438728
61,BD-28,25.003191781314193,110.73129583783854,417764.57300018024
62,MIR-SAT 1,35.00034510535611,98.85243349866796,418699.32962791395
63,PROGRESS-MS 17,-36.680416704308286,-83.21666202999309,431433.19371749525
64,ISS (NAUKA),-36.680416704308286,-83.21666202999309,431433.19371749525
65,SL-25 R/B,48.67239372381256,11.310660419830214,190444.78725885483
