,Name,Latitude,Longitude,Elevation
0,GSAT0101 (PRN E11),-13.419189275796732,-164.47699908610974,23222119.176499385
1,GSAT0102 (PRN E12),25.015342769845173,-137.79876264933418,23217233.53480666
2,GSAT0103 (PRN E19),-32.72011950882774,-61.68605038962984,23224133.405518655
3,GSAT0104 (PRN E20),-18.85457858340773,-48.84575507385355,23224374.13394593
4,GSAT0201 (PRN E18),-34.79533626864335,14.333570758090264,22840299.02199528
5,GSAT0202 (PRN E14),11.878433194507592,168.41271381296934,21525364.106924873
6,GSAT0203 (PRN E26),47.63330044985825,-21.576258701325127,23228558.82750803
7,GSAT0204 (PRN E22),-30.436034116288678,-178.15540991507285,23236212.083885044
8,GSAT0205 (PRN E24),53.01915741005605,-158.89044213340927,23233691.90613944
9,GSAT0206 (PRN E30),-24.10357265259021,67.59750070906844,23222880.884740185
10,GSAT0209 (PRN E09),-34.08391114542809,172.75763714616596,23233431.499165196
11,GSAT0208 (PRN E08),55.09425521857793,51.688510179893036,23238968.30033569
12,GSAT0211 (PRN E02),11.852238003505486,93.27731672499011,23219225.36282742
13,GSAT0210 (PRN E01),-12.078669600031441,-86.55999478873649,23220918.18314893
14,GSAT0207 (PRN E07),34.28254548503716,-6.358862792223007,23228001.811092358
15,GSAT0212 (PRN E03),36.35077360248581,113.59430413689248,23236384.753783233
16,GSAT0213 (PRN E04),-54.780332271525985,-126.6968606450712,23230152.461990923
17,GSAT0214 (PRN E05),0.9521613576617857,144.21215897786297,23225605.939012118
18,GSAT0215 (PRN E21),-44.476575855188244,-53.53280174296153,23227521.529880926
19,GSAT0216 (PRN E25),44.794067442159495,127.03275108823969,23241302.91540616
20,GSAT0217 (PRN E27),-53.85984196599608,17.487516421442127,23227811.20746442
21,GSAT0218 (PRN E31),26.099244538432462,-114.3187100906395,23230685.54665884
22,GSAT0221 (PRN E15),-25.04252906945783,41.91113902387857,23226038.501165483
23,GSAT0222 (PRN E33),54.289979553967534,-91.37557615386575,23233291.836962026
24,GSAT0219 (PRN E36),-46.65619883903942,160.93725886528782,23235671.75518775
25,GSAT0220 (PRN E13),12.52114727169912,16.01753125075038,23222774.424764175
