,Name,Latitude,Longitude,Elevation
0,GPS BIIR-2  (PRN 13),-39.04904154424553,-141.12628497345995,20328284.312214714
1,GPS BIIR-4  (PRN 20),-34.25582689248563,-100.82185060595121,20309121.7559316
2,GPS BIIR-8  (PRN 16),-48.57257555474565,72.2460404891663,20269079.79878747
3,GPS BIIR-9  (PRN 21),24.816198635501465,34.19498307995379,20720076.128871515
4,GPS BIIR-10 (PRN 22),53.57433313683031,26.569306657815222,20346068.720904544
5,GPS BIIR-11 (PRN 19),55.939451086101506,-78.31527732375282,19957947.157674324
6,GPS BIIR-13 (PRN 02),8.75572721072693,-120.69049383649266,20235635.55447877
7,GPS BIIRM-1 (PRN 17),47.36519454213928,-45.51570987111385,20508760.58201934
8,GPS BIIRM-2 (PRN 31),25.36096964403994,78.43358185172089,19927605.002753176
9,GPS BIIRM-3 (PRN 12),51.665387535881216,-179.14207035762905,19975971.659518525
10,GPS BIIRM-4 (PRN 15),-26.182130144133012,-167.8371059695633,20509972.531663947
11,GPS BIIRM-5 (PRN 29),-17.107743428915914,169.84206098106642,20229072.175984807
12,GPS BIIRM-6 (PRN 07),-54.46078262389563,-27.86515014478804,19907898.171266418
13,GPS BIIRM-8 (PRN 05),-53.26619869897536,-135.04074197100925,20304389.28971858
14,GPS BIIF-1  (PRN 25),35.50076360525602,147.19210153609006,19932025.2781617
15,GPS BIIF-2  (PRN 01),39.86255976316714,24.462265139387963,20133232.022654947
16,GPS BIIF-3  (PRN 24),28.492147807164503,-150.26356600537588,20240798.40743728
17,GPS BIIF-4  (PRN 27),-45.585275820867224,41.053612660402706,20423532.031224377
18,GPS BIIF-5  (PRN 30),-43.81639397286018,-76.34122901572663,20076738.758327782
19,GPS BIIF-6  (PRN 06),30.01500904000865,-99.87613057486746,20188346.73253464
20,GPS BIIF-7  (PRN 09),-20.252445852642452,-18.712268637894635,20218691.48320544
21,GPS BIIF-8  (PRN 03),51.517419111578796,-3.213273020561873,20099788.942292362
22,GPS BIIF-9  (PRN 26),-25.563972379210277,94.45969574751723,20082169.652849253
23,GPS BIIF-10 (PRN 08),-26.822878532417697,16.776150285152852,20333223.10174631
24,GPS BIIF-11 (PRN 10),2.6672292029300486,115.49407075716708,20036243.32447855
25,GPS BIIF-12 (PRN 32),49.73957411501929,120.97579200555622,20247790.819728363
26,GPS BIII-1  (PRN 04),3.63617592864393,1.925905270742171,20217901.888048187
27,GPS BIII-2  (PRN 18),-55.163638894581155,139.1243138637579,20203105.5853759
28,GPS BIII-3  (PRN 23),-22.062793092455,132.2186651545252,20164388.296860542
29,GPS BIII-4  (PRN 14),3.692557424329801,-62.66025293055092,20159585.74454256
