Name,Latitude,Longitude,Elevation
STARLINK-24,-20.220538112579103,-37.42788962877356,522.4240270875978
STARLINK-61,41.28029010173636,-7.209346078994489,504.97206513787216
STARLINK-71,41.66880352999739,21.602864585446437,513.188115490253
STARLINK-43,-17.711175831939496,-152.46855669219082,434.05611761351844
STARLINK-70,0.4246054853257621,-112.0882428949504,377.5095362148558
STARLINK-80,-18.867814428635583,98.66762261555854,475.2600827316443
STARLINK-76,-21.152683860931603,-141.5710514049657,373.59016571797713
STARLINK-1007,-8.325424520193202,3.1864919889646983,549.4505132243504
STARLINK-1008,53.20387133712045,98.98987559653017,553.3976704978743
STARLINK-1009,23.816855479426337,170.18914275732476,547.856012540736
STARLINK-1010,37.68062621387381,44.73142132412098,549.9531124568452
STARLINK-1011,43.87477793245311,75.45522401280245,551.4589359309056
STARLINK-1012,-23.619336145559608,-151.4395487201535,554.4306737362837
STARLINK-1013,8.092081243174583,-176.63928878985155,547.516709129382
STARLINK-1014,48.863857737684356,68.37437267372088,552.16191548616
STARLINK-1015,37.93072690680783,153.8080951793738,549.8985358846334
STARLINK-1016,48.93070784922317,130.3353514528446,552.4396481656438
STARLINK-1017,23.513616667875205,28.447540567759624,547.5177547506719
STARLINK-1019,-37.82717727224167,-135.02817881604483,559.9973181879583
STARLINK-1020,-15.797925133728803,-138.31345345206316,551.8130261273875
STARLINK-1021,-48.729024361870756,-112.0751600394114,564.3566473649278
STARLINK-1022,11.953238271541162,58.57180826899488,546.6252902493545
STARLINK-1023,7.8239958590338174,15.360748583171919,547.0840342529709
STARLINK-1024,23.152232199192557,46.35979436908568,544.6138219814454
STARLINK-1025,-0.9103274850762255,167.57753999905313,314.05583354539624
STARLINK-1026,-8.009713184459661,-164.4821829082245,549.7868278852981
STARLINK-1027,-51.99744243066676,-77.337157237076,565.5327710628375
STARLINK-1028,-53.20448615021047,-80.85490490816028,566.0728601329915
STARLINK-1029,39.51986901734468,71.28381126635733,552.9018189133836
STARLINK-1030,-30.944765140322612,-123.88548059756435,557.1953278076326
STARLINK-1031,31.120923043678072,-177.37203255518006,549.0479224102503
STARLINK-1032,52.01419619395989,102.76442577491339,553.301737511528
STARLINK-1033,16.066877039748952,-162.9711351331688,547.5172934033416
STARLINK-1052,-46.87018419170701,-98.8157578475367,561.7593677701958
STARLINK-1035,52.105420391965026,135.51764160484373,553.2932450499386
STARLINK-1036,30.78038675977669,55.91998136505958,548.716319038774
STARLINK-1037,15.912789444707322,37.59438674787463,542.1999116177152
STARLINK-1038,37.943089094461236,-166.1991630848228,550.1480074391485
STARLINK-1039,48.776993624304986,108.0756603865047,552.5278290882435
STARLINK-1041,23.75574321852757,-149.76020519894706,547.9542624342392
STARLINK-1042,-8.318673248675818,43.19652369511982,549.6574786708885
STARLINK-1043,-8.056826327441044,-124.45485376875796,549.5456837458839
STARLINK-1044,-37.315657974060166,-27.173510139997486,361.39003001729196
STARLINK-1046,48.89907899679421,170.44693733813577,552.5607851823906
STARLINK-1047,-0.23980712632516085,29.290490324920007,548.0281393621219
