,Name,Latitude,Longitude,Elevation
0,ISS (ZARYA),-8.329420339986617,-115.63546171157004,6800505.985299586
1,KESTREL EYE IIM (KE2M),49.265464615917,-165.62824094209952,6622571.905713509
2,AEROCUBE 12A,-50.53941691417297,-41.850482527807216,6864646.406796215
3,AEROCUBE 12B,-11.53471704524353,57.97497099569393,6847427.326082825
4,LEMUR-2-VU,25.155519427042513,-145.05517275785496,6845925.134402996
5,LEMUR-2-ALEXANDER,-51.7739646440038,-32.163669315076696,6856919.106785084
6,LEMUR-2-YUASA,-34.91132626875667,23.717737216601964,6848652.841090197
7,LEMUR-2-TOMHENDERSON,10.34265992403447,-130.18602576301447,6846730.855472993
8,1998-067PN,37.12093487469934,-76.85454022880248,6677883.499751024
9,ISS DEB (SEDA-AP),-48.171039167108,77.08131344565918,6773297.140628614
10,UNITE,46.609992340135854,-73.71818646074681,6702213.415789915
11,ISS DEB,-8.435487387592309,45.05613396210115,6768408.173667943
12,ISS DEB,-10.037292015268953,45.49274615084362,6767077.410777411
13,RAAVANA-1,-27.7943245566198,27.26364952084571,6702640.172764222
14,UGUISU,51.43344546565618,-77.26283548690665,6703722.808294055
15,NEPALISAT-1,-27.402820978884627,26.72630487977072,6703534.354114278
16,SPOOQY-1,-43.98599599840475,53.593653469701145,6714661.724818384
17,RED-EYE 1 (PINOT),21.3483889003449,-122.65108495331371,6762411.862920556
18,KRAKSAT,39.71448529450086,-18.126081108256965,6739367.361005904
19,VCC A,21.097811022453964,-153.8114064117554,6707185.287082549
20,ENTRYSAT,-33.074561104120285,140.07717848515813,6618507.81099119
21,VCC B,51.690436218330035,-87.2878585267803,6709457.281158045
22,RWASAT-1,-3.835212892336867,-138.33242010672637,6766142.599110244
23,AQT-D,-25.803430032105357,67.45499254144309,6771028.430400611
24,NARSSCUBE-1,-42.52644279109939,79.8601769695914,6752825.196020002
25,STPSAT-4,37.55977076072054,-81.65674177273986,6780886.367175146
26,HARP,-48.87759955692736,167.3426281557168,6785591.383063123
27,1998-067RA,11.078419594815342,44.4975434115178,6766602.94134831
28,PHOENIX,-50.5966920863912,128.76043377607527,6793867.711653415
29,1998-067RC,-18.539544149393514,-148.302206618856,6761684.180048292
30,CRYOCUBE,51.79031551320108,-46.31722970302622,6745422.648101491
31,AZTECHSAT-1,-40.184092171644714,179.34671325738458,6756870.136398367
32,RADSAT-U,27.50241967428725,28.546550827808463,6764531.076071242
33,QARMAN,6.545107041678836,-127.13950913783232,6754897.451538744
34,SORTIE,46.958122709490716,1.3416489383917647,6778358.107914601
35,ICS-EF (ISS DEB),-40.631344021091394,-158.16865048632013,6803234.728381296
36,G-SAT,-51.79518743763956,145.0438586113433,6787122.473982404
37,QUETZAL-1,47.16853551241792,-5.3539222518155425,6765132.355469331
38,RED-EYE 2 (MERLOT),46.803345016821666,-59.7143849563486,6787149.265474634
39,RED-EYE 3 (CABERNET),46.139472216396555,-61.67805154403635,6786772.701330908
40,DEMI,-21.639335313919023,73.75876604131163,6772150.432971665
41,SPOC,41.91777203221478,-71.66245658539057,6783975.69416593
42,BOBCAT-1,-32.0713989806813,-148.17838889940802,6782617.535759322
43,NEUTRON-1,-38.11099738618054,-154.5124033519511,6791380.501101828
44,1998-067RU,-3.6495034906475854,59.97526658113558,6759598.695134643
45,LEMUR-2-BAXTER-OLIVER,-45.17449175962329,-176.18727290682762,6769652.321972236
46,LEMUR-2-DJARA,5.314804572051041,52.97363849363002,6758839.264013969
47,DESCENT,-51.098486513849416,166.42977654402182,6796523.284432731
48,ISS DEB,-50.295230793955405,141.83111781738535,6811538.951741528
49,RSP-01,47.512733215932435,-52.181559907346646,6793095.229757187
50,TAUSAT-1,-12.225938103428469,-121.80364457744375,6789702.6829945855
51,TSURU,6.025842747174732,-106.51597304059526,6789559.938600627
52,STARS-EC,51.16539069376528,-33.59083659607011,6794681.723731751
53,MMSATS-1,15.879838933294415,-96.90068418090826,6794791.424931072
54,SOYUZ-MS 18,-8.331411093242716,-115.63697886545512,6800560.499993112
55,CREW DRAGON 2,-8.331411093242716,-115.63697886545512,6800560.499993112
56,TIANHE,3.5064390364207694,138.05159146804453,6753308.527527692
57,TIANZHOU-2,3.5476921492338036,138.0968890501192,6753123.882794258
58,RAMSAT,-13.272587133975636,81.25019770937796,6799091.315751701
59,SOAR,-39.73816500307652,-150.54360625885172,6801689.449409014
60,SHENZHOU-12,3.5476921492338036,138.0968890501192,6753123.882794258
61,BD-28,-14.5547769670388,82.34121903692184,6799116.589252479
62,MIR-SAT 1,-4.343711154912361,74.00393409509753,6795539.1399878645
63,PROGRESS-MS 17,-8.331411093242716,-115.63697886545512,6800560.499993112
64,ISS (NAUKA),-8.331411093242716,-115.63697886545512,6800560.499993112
65,SL-25 R/B,24.443532550933064,-94.34792982577746,6565583.36430426
